solv_i_id,molefrac_i,T,ln_gamma_i,_source
solvent_570 / solvent_19,1 / 0,298.15,0 / 1.52,aci
solvent_570 / solvent_2,1 / 0,298.15,0 / 1.26,aci
solvent_570 / solvent_44,1 / 0,298.15,0 / 1.68,aci
solvent_570 / solvent_227,1 / 0,298.15,0 / 1.44,aci
solvent_570 / solvent_123,1 / 0,298.15,0 / 1.81,aci
solvent_570 / solvent_113,1 / 0,298.15,0 / 2.05,aci
solvent_570 / solvent_244,1 / 0,298.15,0 / 2.34,aci
solvent_570 / solvent_18,1 / 0,298.15,0 / 0.41,aci
solvent_570 / solvent_3,1 / 0,298.15,0 / 0.59,aci
solvent_570 / solvent_24,1 / 0,298.15,0 / 0.79,aci
solvent_570 / solvent_25,1 / 0,298.15,0 / 1.21,aci
solvent_570 / solvent_41,1 / 0,298.15,0 / 0.77,aci
solvent_570 / solvent_176,1 / 0,298.15,0 / 0.84,aci
solvent_570 / solvent_885,1 / 0,298.15,0 / 0.83,aci
solvent_570 / solvent_99,1 / 0,298.15,0 / 0.57,aci
solvent_570 / solvent_108,1 / 0,298.15,0 / 0.38,aci
solvent_570 / solvent_691,1 / 0,298.15,0 / 0.64,aci
solvent_570 / solvent_228,1 / 0,298.15,0 / 0.64,aci
solvent_570 / solvent_109,1 / 0,298.15,0 / 0.25,aci
solvent_564 / solvent_60,1 / 0,298.15,0 / 3.76,aci
solvent_564 / solvent_18,1 / 0,298.15,0 / 1.82,aci
solvent_571 / solvent_50,1 / 0,298.15,0 / 1.72,aci
solvent_643 / solvent_5,1 / 0,298.15,0 / 0.63,aci
solvent_643 / solvent_60,1 / 0,298.15,0 / 0.79,aci
solvent_643 / solvent_50,1 / 0,298.15,0 / 0.69,aci
solvent_643 / solvent_190,1 / 0,298.15,0 / 0.78,aci
solvent_643 / solvent_19,1 / 0,298.15,0 / 0.88,aci
solvent_643 / solvent_128,1 / 0,298.15,0 / 0.87,aci
solvent_643 / solvent_44,1 / 0,298.15,0 / 1,aci
solvent_643 / solvent_844,1 / 0,298.15,0 / 0.89,aci
solvent_643 / solvent_900,1 / 0,298.15,0 / 0.95,aci
solvent_643 / solvent_126,1 / 0,298.15,0 / 0.88,aci
solvent_643 / solvent_123,1 / 0,298.15,0 / 1.13,aci
solvent_802 / solvent_44,1 / 0,298.15,0 / 0.29,aci
solvent_575 / solvent_60,1 / 0,298.15,0 / 1.63,aci
solvent_575 / solvent_50,1 / 0,298.15,0 / 1.37,aci
solvent_575 / solvent_19,1 / 0,298.15,0 / 1.79,aci
solvent_575 / solvent_44,1 / 0,298.15,0 / 1.91,aci
solvent_575 / solvent_123,1 / 0,298.15,0 / 2.17,aci
solvent_575 / solvent_18,1 / 0,298.15,0 / 0.47,aci
solvent_575 / solvent_24,1 / 0,298.15,0 / 0.9,aci
solvent_575 / solvent_25,1 / 0,298.15,0 / 0.96,aci
solvent_575 / solvent_191,1 / 0,298.15,0 / 0.98,aci
solvent_575 / solvent_41,1 / 0,298.15,0 / 0.99,aci
solvent_575 / solvent_141,1 / 0,298.15,0 / 0.8,aci
solvent_575 / solvent_903,1 / 0,298.15,0 / 1.1,aci
solvent_575 / solvent_38,1 / 0,298.15,0 / 0.17,aci
solvent_575 / solvent_6,1 / 0,298.15,0 / 0.99,aci
solvent_575 / solvent_9,1 / 0,298.15,0 / 0.01,aci
solvent_575 / solvent_112,1 / 0,298.15,0 / 0.23,aci
solvent_575 / solvent_12,1 / 0,298.15,0 / 0.39,aci
solvent_575 / solvent_87,1 / 0,298.15,0 / -0.46,aci
solvent_575 / solvent_823,1 / 0,298.15,0 / 0.42,aci
solvent_575 / solvent_108,1 / 0,298.15,0 / 0.48,aci
solvent_575 / solvent_228,1 / 0,298.15,0 / 0.57,aci
solvent_575 / solvent_15,1 / 0,298.15,0 / 0.71,aci
solvent_575 / solvent_109,1 / 0,298.15,0 / 0.29,aci
solvent_842 / solvent_60,1 / 0,298.15,0 / 4.25,aci
solvent_842 / solvent_50,1 / 0,298.15,0 / 3.55,aci
solvent_842 / solvent_234,1 / 0,298.15,0 / 3.64,aci
solvent_842 / solvent_19,1 / 0,298.15,0 / 4.51,aci
solvent_842 / solvent_2,1 / 0,298.15,0 / 3.89,aci
solvent_842 / solvent_49,1 / 0,298.15,0 / 4.61,aci
solvent_842 / solvent_18,1 / 0,298.15,0 / 1.82,aci
solvent_842 / solvent_3,1 / 0,298.15,0 / 2.19,aci
solvent_576 / solvent_60,1 / 0,298.15,0 / 2.77,aci
solvent_576 / solvent_18,1 / 0,298.15,0 / 1.19,aci
solvent_576 / solvent_50,1 / 0,298.15,0 / 2.33,aci
solvent_63 / solvent_60,1 / 0,298.15,0 / 2.08,aci
solvent_63 / solvent_19,1 / 0,298.15,0 / 1.77,aci
solvent_63 / solvent_18,1 / 0,298.15,0 / 1.65,aci
solvent_149 / solvent_50,1 / 0,298.15,0 / 1.34,aci
solvent_62 / solvent_5,1 / 0,298.15,0 / 1.25,aci
solvent_62 / solvent_60,1 / 0,298.15,0 / 1.37,aci
solvent_62 / solvent_50,1 / 0,298.15,0 / 1.31,aci
solvent_62 / solvent_190,1 / 0,298.15,0 / 1.38,aci
solvent_62 / solvent_19,1 / 0,298.15,0 / 1.56,aci
solvent_62 / solvent_44,1 / 0,298.15,0 / 1.74,aci
solvent_62 / solvent_844,1 / 0,298.15,0 / 1.57,aci
solvent_62 / solvent_126,1 / 0,298.15,0 / 1.64,aci
solvent_62 / solvent_123,1 / 0,298.15,0 / 1.96,aci
solvent_62 / solvent_18,1 / 0,298.15,0 / 1.56,aci
solvent_62 / solvent_3,1 / 0,298.15,0 / 1.4,aci
solvent_62 / solvent_365,1 / 0,298.15,0 / 0.44,aci
solvent_62 / solvent_1,1 / 0,298.15,0 / -0.42,aci
solvent_62 / solvent_112,1 / 0,298.15,0 / 0.49,aci
solvent_62 / solvent_12,1 / 0,298.15,0 / 0.51,aci
solvent_62 / solvent_7,1 / 0,298.15,0 / 0.58,aci
solvent_855 / solvent_60,1 / 0,298.15,0 / 3.66,aci
solvent_855 / solvent_50,1 / 0,298.15,0 / 3.12,aci
solvent_855 / solvent_18,1 / 0,298.15,0 / 0.95,aci
solvent_855 / solvent_365,1 / 0,298.15,0 / 2.42,aci
solvent_855 / solvent_93,1 / 0,298.15,0 / 1.76,aci
solvent_910 / solvent_5,1 / 0,298.15,0 / 3.27,aci
solvent_910 / solvent_251,1 / 0,298.15,0 / 3.29,aci
solvent_910 / solvent_60,1 / 0,298.15,0 / 3.64,aci
solvent_910 / solvent_50,1 / 0,298.15,0 / 3,aci
solvent_910 / solvent_18,1 / 0,298.15,0 / 0.78,aci
solvent_910 / solvent_365,1 / 0,298.15,0 / 2.3,aci
solvent_910 / solvent_93,1 / 0,298.15,0 / 1.58,aci
solvent_647 / solvent_60,1 / 0,298.15,0 / 2.89,aci
solvent_647 / solvent_18,1 / 0,298.15,0 / 0.41,aci
solvent_366 / solvent_5,1 / 0,298.15,0 / 1.84,aci
